Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 134.909 NA 43 324 0 NA NA NA 106 479 0 NA NA NA 334 8456 1202 NA NA NA 350 4647 1309 NA NA
1547460000.0 134.91 NA 40 324 0 NA NA NA 110 454 0 NA NA NA 312 7639 850 NA NA NA 374 4491 920 NA NA
1547460000.0 134.911 NA 39 327 0 NA NA NA 109 466 0 NA NA NA 339 7727 1225 NA NA NA 371 4794 1410 NA NA
1547460000.0 134.912 NA 42 326 0 NA NA NA 107 458 0 NA NA NA 353 6122 1047 NA NA NA 365 3703 1254 NA NA
1547460000.0 134.99601 NA 43 329 0 NA NA NA 109 496 0 NA NA NA 342 13194 1294 NA NA NA 413 7548 1830 NA NA
1547460000.0 1348.0 NA 136 332 0 NA NA NA 608 467 0 NA NA NA 809 3887 1427 NA NA NA 636 5717 1880 NA NA
1547460000.0 135.1 311 0 130 NA NA NA 703 0 209 NA NA NA 1316 290 998 NA NA NA 1132 626 1495 NA NA NA
1547460000.0 135.13 312 0 NA NA NA NA 705 0 NA NA NA NA 1065 276 NA NA NA NA 1282 375 NA NA NA NA
1547460000.0 135.2 263 0 129 NA NA NA 684 0 206 NA NA NA 1073 265 973 NA NA NA 1598 680 1227 NA NA NA
1547460000.0 135.3 264 0 123 NA NA NA 702 0 215 NA NA NA 1356 324 1205 NA NA NA 2179 887 1560 NA NA NA
1547460000.0 135.4 296 0 124 NA NA NA 695 0 216 NA NA NA 1134 344 1007 NA NA NA 1068 670 1678 NA NA NA
1547460000.0 135.8 152 NA NA NA NA NA 263 NA NA NA NA NA 422 NA NA NA NA NA 710 NA NA NA NA NA
1547460000.0 1352.0 NA 142 344 0 NA NA NA 560 498 0 NA NA NA 865 3352 1069 NA NA NA 1266 5406 1237 NA NA
1547460000.0 1353.0 NA 146 336 0 NA NA NA 518 462 0 NA NA NA 999 3900 1201 NA NA NA 783 4436 1313 NA NA
1547460000.0 136.721 NA 86 348 0 NA NA NA 157 499 0 NA NA NA 670 9973 1216 NA NA NA 702 4787 1343 NA NA
1547460000.0 136.731 NA 84 368 0 NA NA NA 164 600 0 NA NA NA 645 13049 1219 NA NA NA 664 7148 1393 NA NA
1547460000.0 136.733 NA 191 80 0 NA NA NA 309 124 0 NA NA NA 1085 243 440 NA NA NA 884 725 779 NA NA
1547460000.0 136.735 NA 84 291 0 NA NA NA 163 413 0 NA NA NA 825 2966 774 NA NA NA 1028 2898 1092 NA NA
