Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 136.756 NA 84 503 0 NA NA 138 617 0 NA NA 942 8859 947 NA NA 1153 5078 1278 NA
1547334000.0 136.759 NA 81 537 0 NA NA 132 711 0 NA NA 839 23828 1114 NA NA 490 7928 1163 NA
1547334000.0 136.76 NA 72 532 0 NA NA 142 682 0 NA NA 1027 25278 1236 NA NA 1099 8630 1312 NA
1547334000.0 136.7611 NA 177 0 NA NA NA 266 0 NA NA NA 5113 127 NA NA NA 7550 256 NA NA
1547334000.0 136.762 NA 74 561 0 NA NA 140 764 0 NA NA 928 32035 1006 NA NA 676 10105 1055 NA
1547334000.0 136.764 NA 81 517 0 NA NA 135 671 0 NA NA 913 25032 1231 NA NA 1079 8351 1294 NA
1547334000.0 136.772 NA 84 498 0 NA NA 139 688 0 NA NA 921 18332 1032 NA NA 1175 9136 1203 NA
1547334000.0 136.7721 NA 167 0 NA NA NA 248 0 NA NA NA 4830 124 NA NA NA 8327 191 NA NA
1547334000.0 136.7722 NA 139 0 NA NA NA 218 0 NA NA NA 2379 199 NA NA NA 3097 424 NA NA
1547334000.0 136.778 NA 77 511 0 NA NA 137 612 0 NA NA 609 7950 811 NA NA 1004 4278 966 NA
1547334000.0 136.7801 NA 111 0 NA NA NA 165 0 NA NA NA 667 331 NA NA NA 1306 938 NA NA
1547334000.0 136.7802 NA 132 0 NA NA NA 191 0 NA NA NA 677 336 NA NA NA 1374 649 NA NA
1547334000.0 136.781 NA 252 641 0 NA NA 476 956 0 NA NA 17595 23781 1705 NA NA 10224 8315 1760 NA
1547334000.0 136.782 NA 246 628 0 NA NA 471 968 0 NA NA 17718 26046 1581 NA NA 10296 8973 1624 NA
1547334000.0 136.783 NA 267 650 0 NA NA 530 963 0 NA NA 20027 30751 1875 NA NA 11212 10017 1947 NA
1547334000.0 136.784 NA 246 640 0 NA NA 489 916 0 NA NA 16697 24008 1690 NA NA 9908 8639 1747 NA
1547334000.0 136.785 NA 262 642 0 NA NA 491 912 0 NA NA 18289 26890 1509 NA NA 10633 9216 1550 NA
1547334000.0 136.786 NA 265 634 0 NA NA 499 900 0 NA NA 17106 25142 1745 NA NA 10005 8658 1798 NA
1547334000.0 136.788 NA 273 664 0 NA NA 484 979 0 NA NA 19760 28546 1627 NA NA 11182 9837 1669 NA
1547334000.0 136.797 NA 238 633 0 NA NA 441 835 0 NA NA 13494 21508 1650 NA NA 9146 7966 1689 NA
1547334000.0 136.8 NA 244 656 0 NA NA 435 892 0 NA NA 12937 21868 1830 NA NA 8616 7859 1947 NA
1547334000.0 136.8311 NA 131 0 NA NA NA 250 0 NA NA NA 2309 122 NA NA NA 2625 196 NA NA
1547334000.0 1360.0 92 107 541 0 NA 157 370 638 0 NA 3512 460 1922 696 NA 2851 807 3304 778 NA
1547334000.0 1362.17 69 204 642 0 NA 131 463 796 0 NA 9638 2657 2896 2593 NA 8514 3820 2601 2659 NA
1547334000.0 140.0 78 94 296 0 NA 131 367 383 0 NA 15411 1094 1413 406 NA 14066 1407 2306 709 NA
1547334000.0 140.53 NA 401 0 NA NA NA 518 0 NA NA NA 4608 417 NA NA NA 2302 474 NA NA
1547334000.0 140.54 NA 333 0 NA NA NA 482 0 NA NA NA 1389 363 NA NA NA 1875 575 NA NA
1547334000.0 144.6 NA 384 NA NA NA NA 469 NA NA NA NA 3026 NA NA NA NA 2279 NA NA NA
1547334000.0 145.0 73 92 296 0 NA 120 362 394 0 NA 4319 539 986 278 NA 4438 868 1726 496 NA
1547334000.0 149.0 58 103 566 0 NA 111 378 705 0 NA 1040 449 2079 1323 NA 1934 1240 3034 2831 NA
1547334000.0 15.0 NA 101 413 0 NA NA 367 540 0 NA NA 1636 2033 492 NA NA 1464 1833 572 NA
1547334000.0 150.1 NA 101 330 0 NA NA 395 451 0 NA NA 425 972 380 NA NA 934 1506 461 NA
1547334000.0 150.3 NA 106 326 0 NA NA 386 462 0 NA NA 549 974 386 NA NA 889 1584 452 NA
1547334000.0 16.0 NA 105 418 0 NA NA 367 523 0 NA NA 1722 2281 509 NA NA 1384 1920 756 NA
1547334000.0 18.0 NA 97 403 0 NA NA 367 507 0 NA NA 1634 2004 485 NA NA 1419 3859 591 NA
1547334000.0 19.0 NA 99 388 0 NA NA 375 523 0 NA NA 1645 2156 488 NA NA 1409 2599 584 NA
1547334000.0 2.0 106 94 182 NA NA 194 367 291 NA NA 4003 621 1178 NA NA 2154 599 1506 NA NA
1547334000.0 2017.12 384 0 110 NA NA 543 0 185 NA NA 2475 479 999 NA NA 3479 870 1529 NA NA
1547334000.0 2017.13 431 0 NA NA NA 594 0 NA NA NA 1548 374 NA NA NA 1188 415 NA NA NA
1547334000.0 2017.2 343 0 108 NA NA 551 0 182 NA NA 1053 259 572 NA NA 1025 328 726 NA NA
1547334000.0 2017.3 322 0 107 NA NA 550 0 182 NA NA 1232 268 648 NA NA 1517 425 1797 NA NA
1547334000.0 2017.4 384 0 109 NA NA 548 0 184 NA NA 2394 470 991 NA NA 3339 897 1525 NA NA
1547334000.0 2017.6 380 0 109 NA NA 536 0 186 NA NA 2465 486 994 NA NA 3373 930 1508 NA NA
1547334000.0 2017.8 189 NA NA NA NA 274 NA NA NA NA 794 NA NA NA NA 1090 NA NA NA NA
1547334000.0 203.0 NA 168 506 0 NA NA 378 620 0 NA NA 1027 2505 531 NA NA 1362 2706 647 NA
1547334000.0 250199.0 286 NA NA NA NA 420 NA NA NA NA 4523 NA NA NA NA 2892 NA NA NA NA
1547334000.0 250199.17 280 NA NA NA NA 458 NA NA NA NA 4534 NA NA NA NA 3252 NA NA NA NA
1547334000.0 250203.0 NA 271 631 0 NA NA 564 779 0 NA NA 14430 4673 794 NA NA 12226 3022 832 NA
1547334000.0 250205.0 NA 266 631 0 NA NA 533 770 0 NA NA 16280 4670 775 NA NA 13414 3010 813 NA
1547334000.0 250206.0 NA 270 625 0 NA NA 543 764 0 NA NA 12412 4294 879 NA NA 11494 2670 931 NA
1547334000.0 250207.0 NA 253 609 0 NA NA 545 735 0 NA NA 16995 3684 750 NA NA 13154 2472 788 NA
1547334000.0 250399.0 250 NA NA NA NA 424 NA NA NA NA 2013 NA NA NA NA 1849 NA NA NA NA
1547334000.0 250399.17 316 NA NA NA NA 454 NA NA NA NA 2050 NA NA NA NA 1658 NA NA NA NA
1547334000.0 250406.0 319 0 117 NA NA 531 0 183 NA NA 1101 233 557 NA NA 2002 306 637 NA NA
1547334000.0 250407.0 320 0 114 NA NA 530 0 192 NA NA 1253 223 590 NA NA 1983 338 647 NA NA
1547334000.0 280.0 135 92 338 0 NA 253 360 504 0 NA 4086 483 1670 481 NA 2767 675 2809 629 NA
1547334000.0 3.0 98 90 177 NA NA 179 367 288 NA NA 6812 516 1316 NA NA 4325 832 2116 NA NA
1547334000.0 34.0 97 90 409 0 NA 186 360 531 0 NA 3617 569 1869 556 NA 3720 687 3038 718 NA
1547334000.0 4.17 NA 30 383 0 161 NA 79 479 0 264 NA 291 3243 601 1522 NA 660 3290 899 1501
1547334000.0 4.22 NA 194 67 65 0 NA 280 116 127 0 NA 981 342 450 247 NA 1030 374 600 514
1547334000.0 4.29 NA 30 388 0 165 NA 83 498 0 267 NA 305 3246 594 1481 NA 598 2367 735 1555
1547334000.0 4.65 NA 37 427 0 NA NA 83 528 0 NA NA 323 9163 670 NA NA 646 4135 863 NA
1547334000.0 4007.0 60 94 351 NA NA 119 376 526 NA NA 1516 525 1929 NA NA 1470 1152 2641 NA NA
1547334000.0 4008.0 43 0 0 NA NA 90 0 0 NA NA 410 211 1299 NA NA 2629 393 1989 NA NA
1547334000.0 5.1 358 0 NA NA NA 512 0 NA NA NA 2102 405 NA NA NA 2447 535 NA NA NA
1547334000.0 5.2 275 0 NA NA NA 507 0 NA NA NA 1653 363 NA NA NA 2061 462 NA NA NA
1547334000.0 5.3 270 0 NA NA NA 510 0 NA NA NA 1730 396 NA NA NA 2579 713 NA NA NA
1547334000.0 5.4 321 0 NA NA NA 502 0 NA NA NA 2119 423 NA NA NA 2657 764 NA NA NA
1547334000.0 5.5 362 0 NA NA NA 496 0 NA NA NA 2058 396 NA NA NA 2440 531 NA NA NA
1547334000.0 5.6 330 0 NA NA NA 510 0 NA NA NA 2320 423 NA NA NA 2751 757 NA NA NA
1547334000.0 5.7 336 0 NA NA NA 502 0 NA NA NA 2146 416 NA NA NA 2533 713 NA NA NA
1547334000.0 500199.0 200 NA NA NA NA 409 NA NA NA NA 3007 NA NA NA NA 2292 NA NA NA NA
1547334000.0 500200.1 92 189 225 NA NA 161 397 326 NA NA 2987 1077 1963 NA NA 2356 902 1930 NA NA
1547334000.0 500205.0 NA 188 468 0 NA NA 393 592 0 NA NA 9324 3229 649 NA NA 7980 2425 690 NA
1547334000.0 500206.0 NA 187 468 0 NA NA 393 589 0 NA NA 9814 3171 602 NA NA 7923 2248 657 NA
1547334000.0 503.0 35 0 NA NA NA 79 0 NA NA NA 334 194 NA NA NA 749 397 NA NA NA
1547334000.0 504.0 44 0 NA NA NA 80 0 NA NA NA 307 193 NA NA NA 641 418 NA NA NA
1547334000.0 505.0 38 0 NA NA NA 79 0 NA NA NA 299 196 NA NA NA 595 430 NA NA NA
1547334000.0 506.0 43 0 NA NA NA 79 0 NA NA NA 274 191 NA NA NA 631 388 NA NA NA
1547334000.0 507.0 35 0 NA NA NA 78 0 NA NA NA 318 213 NA NA NA 629 545 NA NA NA
1547334000.0 508.0 35 0 NA NA NA 78 0 NA NA NA 269 219 NA NA NA 604 559 NA NA NA
1547334000.0 509.0 34 0 NA NA NA 77 0 NA NA NA 309 210 NA NA NA 1085 533 NA NA NA
1547334000.0 510.0 35 0 NA NA NA 79 0 NA NA NA 410 198 NA NA NA 854 437 NA NA NA
1547334000.0 512.0 0 NA NA NA NA 0 NA NA NA NA 2768 NA NA NA NA 3377 NA NA NA NA
1547334000.0 513.0 0 NA NA NA NA 0 NA NA NA NA 635 NA NA NA NA 544 NA NA NA NA
1547334000.0 514.0 16 39 0 NA NA 56 85 0 NA NA 729 291 221 NA NA 1296 527 554 NA NA
1547334000.0 515.0 0 NA NA NA NA 0 NA NA NA NA 2867 NA NA NA NA 3301 NA NA NA NA
1547334000.0 516.0 0 NA NA NA NA 0 NA NA NA NA 694 NA NA NA NA 650 NA NA NA NA
1547334000.0 517.0 16 37 0 NA NA 56 86 0 NA NA 1627 195 127 NA NA 2135 329 320 NA NA
1547334000.0 519.0 0 NA NA NA NA 0 NA NA NA NA 713 NA NA NA NA 669 NA NA NA NA
1547334000.0 520.0 16 36 0 NA NA 56 85 0 NA NA 1720 194 132 NA NA 2361 354 362 NA NA
1547334000.0 521.0 0 NA NA NA NA 0 NA NA NA NA 676 NA NA NA NA 840 NA NA NA NA
1547334000.0 522.0 0 NA NA NA NA 0 NA NA NA NA 2840 NA NA NA NA 3305 NA NA NA NA
1547334000.0 523.0 16 51 0 NA NA 56 97 0 NA NA 955 220 114 NA NA 725 336 189 NA NA
1547334000.0 524.0 16 44 0 NA NA 56 86 0 NA NA 2717 278 156 NA NA 5208 661 252 NA NA
1547334000.0 525.0 0 NA NA NA NA 0 NA NA NA NA 693 NA NA NA NA 624 NA NA NA NA
1547334000.0 527.0 16 39 0 NA NA 56 86 0 NA NA 1625 200 129 NA NA 2834 327 320 NA NA
1547334000.0 528.0 0 NA NA NA NA 0 NA NA NA NA 605 NA NA NA NA 494 NA NA NA NA
1547334000.0 529.0 0 NA NA NA NA 0 NA NA NA NA 2646 NA NA NA NA 3172 NA NA NA NA
1547334000.0 530.0 16 37 0 NA NA 56 86 0 NA NA 1632 198 131 NA NA 2990 333 270 NA NA
1547334000.0 531.0 61 0 NA NA NA 188 0 NA NA NA 309 203 NA NA NA 516 513 NA NA NA
1547334000.0 534.0 45 0 NA NA NA 94 0 NA NA NA 307 255 NA NA NA 830 1036 NA NA NA
1547334000.0 541.0 42 0 NA NA NA 89 0 NA NA NA 315 226 NA NA NA 581 565 NA NA NA
1547334000.0 545.0 45 0 NA NA NA 91 0 NA NA NA 398 216 NA NA NA 664 540 NA NA NA
1547334000.0 551.0 23 44 0 NA NA 56 86 0 NA NA 981 177 114 NA NA 1486 284 194 NA NA
1547334000.0 552.0 16 37 0 NA NA 56 86 0 NA NA 2071 247 173 NA NA 3204 456 405 NA NA
1547334000.0 554.0 16 40 0 NA NA 56 85 0 NA NA 2525 186 130 NA NA 4368 319 272 NA NA
1547334000.0 555.0 16 37 0 NA NA 56 85 0 NA NA 1187 165 114 NA NA 1531 294 200 NA NA
1547334000.0 556.0 16 42 0 NA NA 56 86 0 NA NA 724 327 197 NA NA 1431 628 442 NA NA
1547334000.0 560.0 42 0 NA NA NA 79 0 NA NA NA 292 208 NA NA NA 583 502 NA NA NA
1547334000.0 561.0 36 0 NA NA NA 80 0 NA NA NA 361 192 NA NA NA 1149 408 NA NA NA
1547334000.0 562.0 16 37 0 NA NA 56 86 0 NA NA 406 363 138 NA NA 782 1071 166 NA NA
1547334000.0 6.0 NA 86 411 0 NA NA 368 504 0 NA NA 1688 1936 498 NA NA 1185 1875 833 NA
1547334000.0 7.0 56 88 176 56 0 106 366 251 103 0 604 451 689 350 247 823 550 1661 521 341
1547334000.0 7.1 56 84 183 66 0 107 358 253 103 0 1927 634 706 289 327 1929 966 897 985 506
1547334000.0 7.3 60 176 246 69 0 115 474 344 113 0 2023 2066 1429 274 608 2316 3983 2442 903 702
1547334000.0 8.0 NA 89 182 44 0 NA 373 258 86 0 NA 1745 739 139 217 NA 1750 1208 272 308
