Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1546639200.0 1319.0 NA 353 721 0 NA NA NA 2097300 2097440 0 NA NA NA 1709 4389 1994 NA NA NA 1172 4561 2114 NA NA
1546639200.0 132.0 273 304 626 NA NA NA 2097350 2097280 2097430 NA NA NA 5142 1205 3150 NA NA NA 2292 1218 2747 NA NA NA
1546639200.0 1320.0 NA 363 727 0 NA NA NA 2097300 2097440 0 NA NA NA 1632 4040 1660 NA NA NA 1468 3880 1802 NA NA
1546639200.0 1321.0 NA 361 716 0 NA NA NA 2097300 2097450 0 NA NA NA 1975 4098 1668 NA NA NA 2947 3884 1808 NA NA
1546639200.0 1322.0 NA 371 730 0 NA NA NA 2097300 2097440 0 NA NA NA 1662 4903 1966 NA NA NA 1087 4602 2174 NA NA
1546639200.0 1323.0 NA 347 589 0 NA NA NA 2097300 2097440 0 NA NA NA 1410 3728 1464 NA NA NA 1311 5468 1580 NA NA
1546639200.0 1324.0 NA 373 752 0 NA NA NA 2097300 2097450 0 NA NA NA 1854 5142 1900 NA NA NA 1257 4443 2041 NA NA
1546639200.0 1325.0 NA 371 552 0 239 NA NA 2097300 2097450 0 2097260 NA NA 1585 5690 1529 651 NA NA 1058 6457 1621 583 NA
1546639200.0 1325.1 NA 370 477 0 NA NA NA 2097300 2097330 0 NA NA NA 2020 1840 686 NA NA NA 1252 1552 764 NA NA
1546639200.0 1325.2 NA 380 709 0 NA NA NA 2097300 2097450 0 NA NA NA 1833 6161 2138 NA NA NA 1141 5111 2431 NA NA
1546639200.0 1325.3 NA 369 439 0 NA NA NA 2097300 2097320 0 NA NA NA 1831 2186 968 NA NA NA 1213 2633 1434 NA NA
1546639200.0 1325.4 NA 295 589 0 NA NA NA 2097300 2097450 0 NA NA NA 1907 5695 1683 NA NA NA 2853 6575 1821 NA NA
1546639200.0 1325.5 NA 392 0 NA NA NA NA 2097380 0 NA NA NA NA 13532 254 NA NA NA NA 12722 344 NA NA NA
1546639200.0 1325.51 NA 461 0 NA NA NA NA 2097370 0 NA NA NA NA 6308 466 NA NA NA NA 4046 844 NA NA NA
1546639200.0 1325.6 NA 319 NA NA NA NA NA 2097380 NA NA NA NA NA 14005 NA NA NA NA NA 10017 NA NA NA NA
1546639200.0 1325.7 NA 274 0 NA NA NA NA 2097400 0 NA NA NA NA 23295 268 NA NA NA NA 32408 536 NA NA NA
1546639200.0 1325.8 NA 467 0 NA NA NA NA 2097400 0 NA NA NA NA 18163 257 NA NA NA NA 9503 650 NA NA NA
1546639200.0 1326.0 NA 357 723 0 NA NA NA 2097300 2097450 0 NA NA NA 1438 4105 1494 NA NA NA 1000 3611 1586 NA NA
